
verbatimScientificName,8712f1254ffffff,8712c0351ffffff,8712c1016ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712c306effffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c1da0ffffff,8712c0adbffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1194ffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff
Neotamias amoenus,0.0,0.0,0.0,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neotamias minimus,0.0,0.02702702702702703,0.019230769230769232,0.0,0.03488372093023256,0.0,0.0,0.03225806451612903,0.0,0.01639344262295082,0.25,0.05555555555555555,0.0,0.07692307692307693,0.38461538461538464,0.0,0.047619047619047616,0.10526315789473684,0.045454545454545456,0.1,0.07142857142857142,0.0,0.0,0.0,0.07894736842105263,0.0,0.05263157894736842,0.08888888888888889,0.02564102564102564,0.04,0.0,0.0,0.045454545454545456,0.0,0.06451612903225806,0.125,0.03333333333333333,0.0,0.0,0.04,0.037037037037037035,0.0,0.058823529411764705
Neotamias minimus selkirki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neotoma cinerea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ochotona princeps,0.6956521739130435,0.43243243243243246,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.045454545454545456,0.5,0.07142857142857142,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.1111111111111111,0.36363636363636365,0.0
Odocoileus hemionus,0.0,0.02702702702702703,0.11538461538461539,0.2,0.45348837209302323,0.11538461538461539,0.058823529411764705,0.0967741935483871,0.0,0.06557377049180328,0.07142857142857142,0.2777777777777778,0.0,0.5384615384615384,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.07142857142857142,0.2,0.125,0.21052631578947367,0.0,0.0,0.0,0.28888888888888886,0.10256410256410256,0.04,0.35555555555555557,0.21052631578947367,0.045454545454545456,0.08,0.25806451612903225,0.0,0.06666666666666667,0.0,0.05555555555555555,0.08,0.14814814814814814,0.0,0.0
Odocoileus hemionus hemionus,0.0,0.0,0.019230769230769232,0.0,0.10465116279069768,0.0,0.0,0.03225806451612903,0.0,0.04918032786885246,0.07142857142857142,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.037037037037037035,0.0,0.022222222222222223,0.07692307692307693,0.08,0.022222222222222223,0.6842105263157895,0.2727272727272727,0.74,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.058823529411764705
Odocoileus virginianus,0.0,0.0,0.019230769230769232,0.0,0.046511627906976744,0.07692307692307693,0.11764705882352941,0.0967741935483871,0.12,0.09836065573770492,0.0,0.0,0.0,0.23076923076923078,0.0,0.4,0.2857142857142857,0.10526315789473684,0.0,0.0,0.0,0.2,0.125,0.0,0.02631578947368421,0.037037037037037035,0.10526315789473684,0.044444444444444446,0.02564102564102564,0.08,0.044444444444444446,0.05263157894736842,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.027777777777777776,0.04,0.0,0.0,0.058823529411764705
Odocoileus virginianus dacotensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odocoileus virginianus ochrourus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
Ondatra zibethicus,0.0,0.0,0.019230769230769232,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.10526315789473684,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
Oreamnos americanus,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oryctolagus cuniculus,0.0,0.0,0.15384615384615385,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oryctolagus cuniculus domesticus,0.0,0.0,0.4807692307692308,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
